                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.91808,                  1.453,                 1.5005,                0.51186,                0.80098,                0.71419,                0.61246,                 0.5971,                 1.1407,                 1.2941,              0.0004085,              0.0004085,              0.0004085
                     70,                0.88493,                 1.3781,                  1.474,                0.55379,                  0.775,                0.71636,                 0.6083,                0.57707,                 1.1688,                 1.2911,             0.00039613,             0.00039613,             0.00039613
                     71,                0.91923,                 1.3734,                 1.4604,                0.54436,                0.78453,                0.66899,                0.56222,                0.63623,                 1.5607,                 1.3598,             0.00038375,             0.00038375,             0.00038375
                     72,                0.93311,                 1.4159,                 1.5085,                0.62518,                0.81573,                 0.7402,                0.66116,                0.49253,                 1.1725,                 1.2304,             0.00037138,             0.00037138,             0.00037138
                     73,                0.93334,                 1.3729,                 1.5071,                0.59378,                0.75285,                0.73789,                0.66438,                0.50881,                 1.1472,                 1.2304,               0.000359,               0.000359,               0.000359
                     74,                 0.8572,                 1.3335,                 1.4541,                0.58426,                0.77659,                0.73117,                0.64416,                0.51491,                 1.1758,                 1.1797,             0.00034663,             0.00034663,             0.00034663
                     75,                0.91271,                 1.4014,                 1.4735,                0.62257,                0.81604,                0.77307,                0.68713,                0.51859,                 1.0978,                 1.1826,             0.00033425,             0.00033425,             0.00033425
                     76,                0.86697,                 1.4075,                 1.4594,                0.49447,                0.94749,                0.73174,                0.64726,                0.49796,                 1.2439,                 1.1772,             0.00032188,             0.00032188,             0.00032188
                     77,                0.90327,                 1.3679,                 1.4799,                0.57035,                0.89961,                0.85322,                0.75619,                0.54155,                0.98597,                 1.1982,              0.0003095,              0.0003095,              0.0003095
                     78,                0.81828,                 1.2849,                 1.4317,                0.67933,                 0.8123,                 0.8303,                0.73996,                0.47731,                0.91715,                 1.1453,             0.00029713,             0.00029713,             0.00029713
                     79,                0.88149,                 1.2944,                 1.4612,                 0.6519,                0.84507,                0.82333,                0.72818,                0.51303,                0.97234,                 1.1409,             0.00028475,             0.00028475,             0.00028475
                     80,                0.81238,                 1.3032,                 1.3991,                0.65825,                0.78562,                 0.7894,                0.70012,                0.47727,                0.97701,                 1.1327,             0.00027237,             0.00027237,             0.00027237
                     81,                 0.7766,                 1.2502,                 1.3782,                0.71714,                0.86482,                0.80306,                0.71792,                0.50287,                0.92844,                 1.1531,                0.00026,                0.00026,                0.00026
                     82,                 0.8758,                 1.2724,                 1.4645,                0.62129,                0.95258,                0.81007,                0.72529,                0.49008,                0.95717,                 1.1407,             0.00024762,             0.00024762,             0.00024762
                     83,                0.85743,                 1.3057,                 1.4248,                0.56497,                 0.9668,                 0.7869,                 0.6931,                0.51529,                 1.0335,                  1.145,             0.00023525,             0.00023525,             0.00023525
                     84,                0.83906,                 1.3078,                  1.423,                0.68922,                0.89414,                0.78925,                0.71437,                0.44703,                 0.9322,                 1.1169,             0.00022288,             0.00022288,             0.00022288
                     85,                0.80609,                 1.3075,                 1.3993,                0.62519,                0.92738,                 0.7865,                0.70192,                0.52062,                 1.0005,                 1.1838,              0.0002105,              0.0002105,              0.0002105
                     86,                 0.8076,                 1.2779,                 1.4049,                0.62414,                0.87389,                0.76889,                0.67022,                0.51843,                 1.0206,                 1.1864,             0.00019813,             0.00019813,             0.00019813
                     87,                0.89101,                 1.3044,                 1.4701,                0.52198,                0.91816,                0.74167,                0.67357,                0.48117,                   1.05,                 1.1517,             0.00018575,             0.00018575,             0.00018575
                     88,                0.79936,                 1.2957,                  1.388,                0.56802,                0.87409,                0.75892,                0.68929,                0.44804,                 1.0592,                  1.139,             0.00017338,             0.00017338,             0.00017338
