                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.0272,                 1.4109,                 1.6151,                0.62845,                0.85688,                 0.7536,                0.61849,                0.63315,                 1.0394,                 1.3111,              0.0010231,              0.0010231,              0.0010231
                     57,                 1.0674,                 1.4447,                 1.6556,                0.68045,                0.77012,                0.76804,                0.64385,                 0.6324,                 1.0429,                 1.2833,               0.001019,               0.001019,               0.001019
                     58,                 1.0208,                  1.452,                 1.6153,                0.70054,                0.69163,                0.72054,                0.59734,                0.68705,                 1.2037,                 1.2932,              0.0010149,              0.0010149,              0.0010149
                     59,                0.99033,                 1.3974,                 1.5519,                0.58185,                0.50789,                0.54624,                0.42571,                0.71319,                 1.6796,                 1.3222,              0.0010107,              0.0010107,              0.0010107
                     60,                 1.0705,                  1.447,                 1.6088,                0.66517,                0.73906,                 0.8183,                0.65703,                0.67577,                 1.1177,                 1.2993,              0.0010066,              0.0010066,              0.0010066
                     61,                0.93583,                 1.3354,                 1.5603,                0.66539,                    0.9,                0.82097,                 0.7028,                0.61106,                 1.0343,                 1.2869,              0.0010025,              0.0010025,              0.0010025
                     62,                0.94567,                 1.2998,                 1.5202,                0.65046,                0.80183,                0.78127,                0.66208,                0.62408,                 1.0196,                  1.304,             0.00099837,             0.00099837,             0.00099837
                     63,                0.92906,                 1.3239,                 1.5409,                0.55042,                  0.875,                0.78221,                0.67115,                 0.5874,                 1.1519,                 1.2582,             0.00099425,             0.00099425,             0.00099425
                     64,                0.96559,                 1.3011,                 1.5517,                0.65192,                0.79364,                0.78891,                0.68726,                0.57049,                 1.0035,                 1.2374,             0.00099013,             0.00099013,             0.00099013
                     65,                0.95163,                 1.3389,                 1.5596,                0.65807,                0.67276,                0.71229,                0.61544,                0.52649,                 1.2559,                  1.191,               0.000986,               0.000986,               0.000986
                     66,                0.91334,                 1.2456,                 1.4999,                0.55939,                0.77924,                0.74461,                 0.6182,                0.54128,                 1.2059,                 1.2487,             0.00098187,             0.00098187,             0.00098187
                     67,                0.96232,                 1.3369,                 1.5869,                0.70273,                0.84896,                0.79176,                0.64793,                0.64413,                0.92018,                 1.2852,             0.00097775,             0.00097775,             0.00097775
                     68,                0.93927,                 1.2468,                 1.5224,                0.64278,                0.89877,                0.79847,                0.66357,                0.57221,                  1.241,                 1.2396,             0.00097362,             0.00097362,             0.00097362
                     69,                0.94601,                 1.3045,                 1.5053,                0.58616,                  0.925,                0.78702,                0.67977,                0.51019,                0.95642,                 1.1696,              0.0009695,              0.0009695,              0.0009695
                     70,                0.98252,                 1.2777,                  1.577,                0.57101,                 0.7899,                0.77382,                0.62974,                0.60616,                 1.0645,                 1.2687,             0.00096537,             0.00096537,             0.00096537
                     71,                0.98581,                 1.3307,                 1.5659,                0.59572,                0.84819,                0.76495,                  0.616,                0.65857,                  1.075,                 1.2836,             0.00096125,             0.00096125,             0.00096125
                     72,                0.95366,                 1.2596,                 1.5069,                0.61057,                0.83964,                0.78383,                0.67443,                0.54317,                 1.0219,                 1.1882,             0.00095712,             0.00095712,             0.00095712
                     73,                0.91495,                 1.2549,                 1.5016,                0.64063,                0.92154,                 0.8255,                0.66395,                0.73949,                0.95579,                 1.3481,               0.000953,               0.000953,               0.000953
                     74,                0.87957,                 1.1971,                 1.4543,                0.60965,                0.79907,                0.78638,                0.69351,                0.53104,                 1.1662,                 1.1663,             0.00094887,             0.00094887,             0.00094887
                     75,                0.91014,                 1.1994,                 1.4857,                  0.545,                  0.675,                0.57421,                 0.5042,                0.56876,                 1.8667,                 1.2169,             0.00094475,             0.00094475,             0.00094475
                     76,                0.93126,                 1.2121,                 1.5033,                0.55762,                  0.925,                 0.7988,                0.69555,                0.53029,                0.97887,                 1.1716,             0.00094062,             0.00094062,             0.00094062
                     77,                0.86712,                 1.2235,                 1.4176,                0.58825,                0.90639,                0.74998,                0.66302,                0.48648,                  1.044,                 1.1274,              0.0009365,              0.0009365,              0.0009365
                     78,                 0.9017,                  1.259,                 1.4815,                0.63216,                0.73172,                0.76081,                0.63383,                0.56927,                  1.164,                 1.1663,             0.00093238,             0.00093238,             0.00093238
