                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.77785,                 2.0154,                 2.0243,                0.66991,                0.62311,                0.73253,                0.60692,                0.63013,                 2.2655,                 1.7801,             0.00073088,             0.00073088,             0.00073088
                     54,                0.78522,                 2.0585,                 2.0651,                0.51182,                0.73031,                  0.634,                0.51645,                0.66631,                 2.0514,                 1.7723,             0.00072357,             0.00072357,             0.00072357
                     55,                0.76224,                 2.0244,                 2.0536,                0.65782,                0.70358,                0.70226,                0.57898,                0.65504,                 1.8481,                 1.7491,             0.00071626,             0.00071626,             0.00071626
                     56,                0.81229,                 2.0039,                 2.0735,                0.71853,                0.71665,                 0.7388,                0.61374,                0.61512,                 1.6503,                 1.7188,             0.00070895,             0.00070895,             0.00070895
                     57,                0.74593,                 1.9442,                 1.9591,                0.61997,                0.66155,                0.68958,                0.59114,                0.58396,                 2.0303,                  1.701,             0.00070164,             0.00070164,             0.00070164
                     58,                 0.7515,                 1.9334,                 2.0261,                0.62299,                 0.6657,                0.71842,                0.60067,                0.63271,                 1.9926,                 1.7902,             0.00069433,             0.00069433,             0.00069433
                     59,                0.71581,                 1.8675,                 1.9805,                0.70133,                0.66484,                0.75067,                0.66275,                0.57544,                 1.9502,                 1.7044,             0.00068702,             0.00068702,             0.00068702
                     60,                0.68675,                 1.9442,                 1.9189,                0.57704,                0.71135,                0.65125,                 0.5511,                0.59089,                 1.8467,                 1.6794,             0.00067971,             0.00067971,             0.00067971
                     61,                 0.7547,                 1.9473,                 2.0208,                0.64373,                0.72941,                0.69959,                0.61052,                 0.5872,                 2.0853,                 1.6643,              0.0006724,              0.0006724,              0.0006724
                     62,                0.69541,                  1.883,                 1.9321,                0.65891,                0.65342,                0.74292,                0.64685,                0.56244,                  1.995,                 1.7117,             0.00066509,             0.00066509,             0.00066509
                     63,                0.70106,                 1.8441,                 1.9164,                0.63368,                0.73328,                0.74187,                0.62169,                0.61355,                 1.6735,                 1.7097,             0.00065778,             0.00065778,             0.00065778
                     64,                0.77454,                 1.8839,                 1.9937,                0.68752,                0.76362,                0.78959,                 0.6627,                0.59167,                 1.7651,                 1.6476,             0.00065047,             0.00065047,             0.00065047
                     65,                0.68562,                  1.849,                 1.9487,                0.49654,                0.68288,                 0.6671,                 0.5719,                0.63494,                 1.7064,                 1.7242,             0.00064316,             0.00064316,             0.00064316
                     66,                0.69286,                 1.7267,                  1.917,                0.58397,                0.73035,                 0.7004,                0.58724,                0.59242,                 1.9209,                 1.7327,             0.00063585,             0.00063585,             0.00063585
                     67,                0.70277,                 1.7985,                 1.9057,                0.60292,                0.79396,                0.72278,                0.62884,                  0.524,                 1.8604,                 1.5762,             0.00062854,             0.00062854,             0.00062854
                     68,                0.72255,                 1.7802,                 1.9193,                0.65762,                0.67865,                0.77208,                0.64546,                0.55562,                 1.7651,                 1.6122,             0.00062123,             0.00062123,             0.00062123
                     69,                0.69073,                 1.7848,                 1.8999,                0.66293,                0.78721,                0.73919,                 0.6298,                0.55603,                 1.6474,                 1.6876,             0.00061392,             0.00061392,             0.00061392
                     70,                0.70368,                 1.7892,                 1.8762,                0.74041,                0.68361,                0.76005,                0.63657,                0.59843,                 1.5043,                  1.722,             0.00060661,             0.00060661,             0.00060661
                     71,                0.70288,                 1.7996,                 1.8919,                0.67622,                0.63813,                0.73701,                0.64686,                0.52792,                 1.8904,                 1.6091,              0.0005993,              0.0005993,              0.0005993
                     72,                0.66903,                 1.7786,                 1.8434,                 0.5685,                0.77303,                0.74492,                0.63517,                 0.5519,                 1.7803,                 1.6016,             0.00059199,             0.00059199,             0.00059199
                     73,                0.70598,                 1.6793,                 1.9317,                0.68599,                 0.6724,                0.73491,                0.64551,                  0.518,                 1.9738,                 1.5554,             0.00058468,             0.00058468,             0.00058468
                     74,                0.68591,                 1.7108,                 1.8659,                0.57965,                0.82316,                0.74155,                0.62831,                0.53721,                 1.6074,                 1.6024,             0.00057737,             0.00057737,             0.00057737
                     75,                0.66697,                 1.6586,                 1.8884,                0.64806,                0.71507,                0.73824,                 0.6339,                0.51285,                 2.0724,                 1.5555,             0.00057006,             0.00057006,             0.00057006
                     76,                0.66094,                 1.7013,                 1.8327,                0.40765,                0.74502,                0.65915,                0.57092,                0.54113,                 2.0088,                 1.6134,             0.00056275,             0.00056275,             0.00056275
                     77,                0.66899,                 1.7398,                 1.8572,                0.75404,                0.75198,                0.77719,                0.67933,                0.51991,                 1.6381,                 1.6088,             0.00055544,             0.00055544,             0.00055544
                     78,                0.70048,                 1.8294,                  1.893,                0.65009,                0.81276,                0.79592,                0.67664,                0.57503,                 1.5522,                 1.5849,             0.00054813,             0.00054813,             0.00054813
                     79,                0.66188,                 1.7408,                 1.8484,                0.81274,                0.70953,                0.78201,                0.65516,                0.54437,                 1.5187,                  1.593,             0.00054082,             0.00054082,             0.00054082
                     80,                  0.658,                 1.7421,                 1.8137,                0.76559,                0.76309,                0.80573,                0.68438,                0.52154,                 1.4743,                 1.5629,             0.00053351,             0.00053351,             0.00053351
                     81,                0.64307,                 1.6582,                 1.8245,                0.68016,                0.81743,                 0.7458,                0.65904,                0.55993,                 2.0487,                 1.6052,              0.0005262,              0.0005262,              0.0005262
                     82,                0.66033,                 1.6236,                 1.8346,                0.74704,                0.69176,                0.78869,                0.67957,                 0.5282,                 1.7064,                 1.6349,             0.00051889,             0.00051889,             0.00051889
                     83,                 0.6508,                 1.6451,                 1.8578,                0.71681,                0.74708,                0.78781,                0.69618,                0.51372,                 1.4795,                 1.5428,             0.00051158,             0.00051158,             0.00051158
                     84,                0.60933,                 1.5792,                 1.8041,                0.64796,                0.73308,                0.76736,                0.64707,                 0.5522,                 1.4841,                 1.5797,             0.00050427,             0.00050427,             0.00050427
                     85,                0.64848,                 1.5753,                 1.8416,                0.61345,                0.80203,                0.75623,                0.64536,                0.53478,                 1.8242,                 1.5747,             0.00049696,             0.00049696,             0.00049696
                     86,                0.65868,                 1.6427,                 1.8362,                0.64469,                0.73285,                0.79222,                0.66894,                0.52349,                 1.5101,                 1.5941,             0.00048965,             0.00048965,             0.00048965
                     87,                0.63432,                 1.6226,                  1.798,                0.71455,                0.80027,                0.79829,                 0.6741,                0.54837,                 1.4441,                 1.6229,             0.00048234,             0.00048234,             0.00048234
                     88,                 0.6376,                 1.5365,                 1.7738,                0.71839,                0.85677,                0.79105,                0.66131,                0.51851,                 1.5192,                 1.5793,             0.00047503,             0.00047503,             0.00047503
                     89,                0.62513,                  1.597,                 1.8219,                0.77085,                0.85457,                0.81241,                0.71301,                 0.5106,                 1.6447,                 1.5402,             0.00046772,             0.00046772,             0.00046772
                     90,                0.60255,                 1.5249,                 1.8147,                0.77933,                0.78787,                0.82573,                0.70873,                0.53978,                 1.5515,                 1.6015,             0.00046041,             0.00046041,             0.00046041
                     91,                 0.6114,                 1.5275,                 1.7355,                0.74437,                0.83582,                 0.8117,                0.71861,                0.53231,                 1.6165,                 1.5681,              0.0004531,              0.0004531,              0.0004531
                     92,                0.61973,                   1.49,                 1.7828,                0.78212,                0.72951,                0.79903,                0.70648,                0.50608,                 1.5038,                 1.5646,             0.00044579,             0.00044579,             0.00044579
                     93,                0.60205,                 1.5473,                  1.766,                0.87539,                0.71366,                0.83068,                0.73148,                0.50067,                 1.2728,                 1.5878,             0.00043848,             0.00043848,             0.00043848
