                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.97134,                  1.437,                 1.5237,                 0.5601,                0.76588,                0.66177,                0.55676,                0.72816,                 1.3207,                 1.3484,             0.00091302,             0.00091302,             0.00091302
                     56,                0.96824,                 1.4748,                 1.5297,                 0.5242,                0.63916,                0.59662,                0.51385,                0.80786,                 1.3379,                 1.4488,             0.00090935,             0.00090935,             0.00090935
                     57,                 0.9799,                 1.4403,                 1.5509,                 0.5695,                0.63473,                0.61194,                0.50535,                0.80366,                 1.3492,                 1.4438,             0.00090569,             0.00090569,             0.00090569
                     58,                0.91903,                  1.398,                 1.4769,                0.42866,                0.68007,                0.61018,                0.48439,                0.89917,                 1.4747,                 1.4791,             0.00090202,             0.00090202,             0.00090202
                     59,                0.93032,                  1.471,                 1.5124,                0.53188,                0.66615,                0.63114,                0.49612,                0.89977,                 1.4276,                 1.4771,             0.00089835,             0.00089835,             0.00089835
                     60,                0.91387,                 1.4245,                 1.4797,                0.39255,                0.74636,                0.63296,                0.49681,                0.87057,                 1.5001,                 1.4517,             0.00089469,             0.00089469,             0.00089469
                     61,                0.94135,                 1.5004,                 1.4851,                0.67567,                0.61912,                0.70622,                0.57364,                0.82543,                 1.2415,                 1.4622,             0.00089102,             0.00089102,             0.00089102
                     62,                0.91703,                 1.4002,                 1.4532,                0.51134,                0.73145,                0.67848,                0.57484,                0.77576,                 1.3162,                 1.3899,             0.00088736,             0.00088736,             0.00088736
                     63,                0.86805,                 1.4416,                 1.4707,                0.58472,                0.80568,                0.71758,                0.61206,                 0.7371,                 1.2481,                 1.3652,             0.00088369,             0.00088369,             0.00088369
                     64,                0.87344,                 1.3876,                  1.448,                0.58188,                0.88354,                0.71784,                 0.6038,                0.71252,                 1.2384,                 1.3373,             0.00088002,             0.00088002,             0.00088002
                     65,                0.89378,                 1.3696,                 1.4579,                0.60995,                0.76512,                0.66956,                0.55782,                0.75359,                 1.2671,                  1.402,             0.00087636,             0.00087636,             0.00087636
                     66,                0.85829,                 1.4089,                 1.4388,                0.64676,                0.75022,                0.71804,                0.58397,                0.80612,                 1.2431,                 1.4089,             0.00087269,             0.00087269,             0.00087269
                     67,                0.83431,                 1.3733,                 1.3745,                0.59869,                0.74941,                 0.7098,                 0.6095,                0.67266,                 1.1441,                 1.2915,             0.00086902,             0.00086902,             0.00086902
                     68,                0.83158,                 1.3214,                 1.3843,                0.57616,                0.78941,                0.73426,                0.61073,                0.82938,                 1.3043,                 1.4178,             0.00086536,             0.00086536,             0.00086536
                     69,                0.85806,                 1.3096,                 1.4427,                0.40937,                0.81119,                0.67732,                0.57264,                0.72562,                 1.3698,                 1.3339,             0.00086169,             0.00086169,             0.00086169
                     70,                0.81242,                 1.2943,                 1.3737,                0.70235,                0.69338,                0.73719,                0.61443,                0.77878,                 1.2033,                 1.3632,             0.00085803,             0.00085803,             0.00085803
                     71,                 0.9061,                 1.3898,                 1.4553,                0.56648,                0.76746,                0.73793,                0.61864,                0.72138,                 1.4762,                 1.3308,             0.00085436,             0.00085436,             0.00085436
                     72,                0.81893,                 1.2434,                 1.3858,                0.56482,                0.81486,                0.69865,                0.56886,                0.78387,                 1.2017,                 1.3601,             0.00085069,             0.00085069,             0.00085069
                     73,                0.87297,                 1.2874,                 1.4034,                0.70993,                0.64345,                 0.7363,                0.60245,                0.72014,                 1.1189,                 1.3359,             0.00084703,             0.00084703,             0.00084703
                     74,                0.85289,                 1.2983,                 1.3973,                0.73672,                0.57512,                0.70115,                0.58438,                0.72711,                 1.2658,                 1.3452,             0.00084336,             0.00084336,             0.00084336
                     75,                0.80633,                  1.246,                 1.3796,                0.42709,                0.38823,                0.30745,                0.21002,                  1.422,                 2.4483,                 2.0866,             0.00083969,             0.00083969,             0.00083969
                     76,                0.88354,                 1.3147,                  1.449,                0.47349,                0.72464,                0.59221,                0.48537,                0.72517,                 1.6863,                 1.3034,             0.00083603,             0.00083603,             0.00083603
                     77,                0.84216,                 1.2353,                 1.3746,                0.73854,                0.75184,                0.74292,                0.61386,                0.74756,                 1.2042,                 1.3319,             0.00083236,             0.00083236,             0.00083236
                     78,                0.84033,                 1.2556,                 1.3703,                0.51323,                0.76588,                0.74128,                0.63022,                 0.6675,                 1.2759,                 1.2954,             0.00082869,             0.00082869,             0.00082869
                     79,                  0.807,                 1.2235,                 1.3445,                0.60766,                0.67765,                0.73654,                0.63801,                0.64438,                 1.2825,                 1.2869,             0.00082503,             0.00082503,             0.00082503
                     80,                0.80182,                 1.2046,                 1.3662,                0.60051,                0.79799,                0.76138,                0.62965,                0.71985,                 1.0559,                 1.3315,             0.00082136,             0.00082136,             0.00082136
                     81,                 0.7796,                 1.2449,                 1.3434,                0.81756,                0.66585,                0.79614,                0.68197,                0.69176,                 1.0441,                 1.2994,              0.0008177,              0.0008177,              0.0008177
                     82,                0.75569,                 1.2114,                 1.3218,                0.69449,                0.71594,                0.75343,                0.65535,                0.69545,                 1.2668,                 1.3036,             0.00081403,             0.00081403,             0.00081403
                     83,                0.80464,                 1.2255,                 1.3409,                0.69564,                0.67417,                0.74195,                0.65178,                0.63275,                 1.1675,                 1.2592,             0.00081036,             0.00081036,             0.00081036
                     84,                0.80623,                 1.1572,                 1.3524,                0.57497,                0.83955,                0.73272,                0.60569,                0.76967,                  1.239,                 1.3535,              0.0008067,              0.0008067,              0.0008067
